service_category,name,address,city_town,province_territory,postal_code,phone_1,phone_2,phone_3,website,coverage_area,hours_call,hours_sms,hours_chat,description,latitude,longitude
Crisis Lines: Local,Winnipeg Family Resource Centre,1848 Granville St,Winnipeg,Manitoba,K4V 3P9,1-866-925-4419,,,https://familyresourcecentre69.ca,Canada-wide,,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",,"Provides crisis de-escalation, safety planning, and referrals to local services across the coverage area.",50.1935,-97.4967
Poison Control,Charlottetown Support Services,2123 King St W,Charlottetown,Prince Edward Island,C2L 7X2,988,,1-866-925-4419,https://supportservices37.ca,Charlottetown,24/7,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00",,"Provides crisis de-escalation, safety planning, and referrals to local services across the coverage area.",46.1471,-63.4658
Crisis Lines: National,Winnipeg Distress Centre,1383 Portage Ave,Winnipeg,Manitoba,G0M 7G7,1-866-925-4419,811,,,Various communities across Canada,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",,,"Free, confidential support for anyone in distress. Interpreters available in over 100 languages on request.",50.116,-97.3483
Crisis Lines: International,Vancouver Distress Centre,1882 King St W,Vancouver,British Columbia,V9Y 0X9,1-833-456-4566,1-800-668-6868,,https://distresscentre15.ca,Vancouver,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30","Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",24/7,"Information and referral service connecting residents to social, health, and government programs.",49.6624,-123.4666
Poison Control,St. John's Mental Health Line,2089 Broadway Ave,St. John's,Newfoundland and Labrador,R7B 6P4,211,,,https://mentalhealthline3.ca,Various communities across Canada,24/7,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00",,Trained volunteers offer emotional support and connect callers with community resources.,47.5983,-52.4618
Mobile Crisis Teams,Calgary Family Resource Centre,562 King St W,Calgary,Alberta,T0M 3B3,211,,,https://familyresourcecentre92.ca,Canada-wide,,24/7,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",Trained volunteers offer emotional support and connect callers with community resources.,50.9303,-113.8472
811 and Health Information,Montreal Wellness Line,1799 Water St,Montreal,Quebec,T6N 2V7,1 (866) 585-0445,604-872-3311,,https://wellnessline96.ca,Quebec,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00",,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30","Information and referral service connecting residents to social, health, and government programs.",45.3369,-73.8853
Crisis Lines: Local,Montreal Wellness Line,1755 Portage Ave,Montreal,Quebec,T5T 0P9,988,,211,https://wellnessline89.ca,Quebec,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00",,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30","Free, confidential support for anyone in distress. Interpreters available in over 100 languages on request.",45.2161,-73.4813
Child Protection Services,Moncton Distress Centre,,Moncton,New Brunswick,,Toll-free: 1-800-265-3333; TTY: 1-866-323-4408,,,,New Brunswick,,,,Trained volunteers offer emotional support and connect callers with community resources.,45.9854,-64.5677
Poison Control,Yellowknife Community Helpline,1297 Jasper Ave,Yellowknife,Northwest Territories,E0H 7X6,604-872-3311,,,https://communityhelpline32.ca,Canada-wide,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30","Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00","Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00","Provides crisis de-escalation, safety planning, and referrals to local services across the coverage area.",62.1521,-114.0895
Mobile Crisis Teams,Moncton Community Helpline,1319 Barrington St,Moncton,New Brunswick,C8Y 4M2,Toll-free: 1-800-265-3333; TTY: 1-866-323-4408,,,https://communityhelpline91.ca,Various communities across Canada,24/7,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",,Mobile team pairs a mental-health clinician with a peer support worker for in-person crisis response.,45.7088,-64.735
Poison Control,Quebec City Family Resource Centre,,Quebec City,Quebec,,811,,1-866-925-4419,https://familyresourcecentre12.ca,Canada-wide,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00",24/7,,Trained volunteers offer emotional support and connect callers with community resources.,46.927,-71.2475
Child Protection Services,St. John's Support Services,2268 Spring Garden Rd,St. John's,Newfoundland and Labrador,G6X 0E8,911,,,https://supportservices24.ca,Various communities across Canada,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00",,24/7,Trained volunteers offer emotional support and connect callers with community resources.,47.3185,-52.3475
Crisis Lines: Local,Regina Community Helpline,392 Broadway Ave,Regina,Saskatchewan,H9G 2N9,211,211,,https://communityhelpline83.ca,Regina,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30","Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00",24/7,Mobile team pairs a mental-health clinician with a peer support worker for in-person crisis response.,50.7564,-104.5824
Crisis Lines: International,Saskatoon Family Resource Centre,1673 Jasper Ave,Saskatoon,Saskatchewan,C0H 7S7,,,,https://familyresourcecentre59.ca,Various communities across Canada,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00","Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00","Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00",Mobile team pairs a mental-health clinician with a peer support worker for in-person crisis response.,51.8378,-106.7736
Crisis Lines: National,Whitehorse Crisis Services,,Whitehorse,Yukon,,1-800-668-6868,,,https://crisisservices16.ca,Yukon,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00",,,"Provides crisis de-escalation, safety planning, and referrals to local services across the coverage area.",60.972,-134.7098
Child Protection Services,Montreal Hope Network,2118 Queen St E,Montreal,Quebec,M7A 1R8,1-866-925-4419,1-833-456-4566,,https://hopenetwork64.ca,Quebec,24/7,,,Mobile team pairs a mental-health clinician with a peer support worker for in-person crisis response.,45.3305,-73.9609
Child Protection Services,Vancouver Youth Crisis Line,1508 Water St,Vancouver,British Columbia,B6B 9Y3,1 (866) 585-0445,,,https://youthcrisisline47.ca,Canada-wide,,,,"Free, confidential support for anyone in distress. Interpreters available in over 100 languages on request.",48.9856,-123.4434
Poison Control,Quebec City Support Services,600 Granville St,Quebec City,Quebec,X6X 0B0,911,1-866-925-4419,,https://supportservices78.ca,Various communities across Canada,,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",,"Information and referral service connecting residents to social, health, and government programs.",46.6679,-71.2931
Crisis Lines: National,Iqaluit Wellness Line,2097 Broadway Ave,Iqaluit,Nunavut,V9M 7A5,1 (866) 585-0445,988,,,Nunavut,,,,"Free, confidential support for anyone in distress. Interpreters available in over 100 languages on request.",63.8135,-68.7806
Child Protection Services,Iqaluit Youth Crisis Line,1002 Main St,Iqaluit,Nunavut,E3A 7N6,911,,,https://youthcrisisline74.ca,Canada-wide,24/7,,,Trained volunteers offer emotional support and connect callers with community resources.,64.1452,-68.5343
Child Protection Services,Halifax Support Services,2193 Barrington St,Halifax,Nova Scotia,P4V 3K4,604-872-3311,,1-800-668-6868,https://supportservices70.ca,Halifax,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30","Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00",,Trained volunteers offer emotional support and connect callers with community resources.,44.6972,-63.2276
811 and Health Information,Regina Wellness Line,2234 Water St,Regina,Saskatchewan,P2M 0M1,1 (866) 585-0445,Toll-free: 1-800-265-3333; TTY: 1-866-323-4408,,https://wellnessline51.ca,Canada-wide,"Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",,,"Information and referral service connecting residents to social, health, and government programs.",50.6021,-104.9091
Crisis Lines: International,Iqaluit Crisis Intervention Team,,Iqaluit,Nunavut,,604-872-3311,,,https://crisisinterventionteam86.ca,Nunavut,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00",,,"Provides crisis de-escalation, safety planning, and referrals to local services across the coverage area.",63.3508,-68.4767
Mobile Crisis Teams,Calgary Youth Crisis Line,826 Jasper Ave,Calgary,Alberta,M0C 9K8,211,911,,https://youthcrisisline42.ca,Various communities across Canada,24/7,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00","Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",Trained volunteers offer emotional support and connect callers with community resources.,51.3461,-114.4645
811 and Health Information,Yellowknife Crisis Intervention Team,1382 Jasper Ave,Yellowknife,Northwest Territories,Y8V 2X7,1-800-668-6868,,,https://crisisinterventionteam59.ca,Various communities across Canada,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00","Mo 8:00-19:00,Tu 8:00-19:00,We 8:00-19:00,Th 8:00-19:00,Fr 8:00-19:00,Sa 8:00-15:30,Su 8:00-15:30",,Trained volunteers offer emotional support and connect callers with community resources.,62.6866,-114.3176
Crisis Lines: Provincial/Territorial,Edmonton Community Helpline,2120 Barrington St,Edmonton,Alberta,R1H 2V5,1-833-456-4566,,,https://communityhelpline12.ca,Canada-wide,"Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00","Mo 9:00-21:00,Tu 9:00-21:00,We 9:00-21:00,Th 9:00-21:00,Fr 9:00-17:00",,"Information and referral service connecting residents to social, health, and government programs.",53.1552,-113.3709
811 and Health Information,Winnipeg Distress Centre,664 Water St,Winnipeg,Manitoba,X4E 4P9,,,1-866-925-4419,,Various communities across Canada,"Mo 10:00-22:00,Tu 10:00-22:00,We 10:00-22:00,Th 10:00-22:00,Fr 10:00-22:00,Sa 12:00-20:00,Su 12:00-20:00",,,"Information and referral service connecting residents to social, health, and government programs.",50.2253,-96.9325
811 and Health Information,Edmonton Hope Network,2173 Barrington St,Edmonton,Alberta,E0Y 8J9,604-872-3311,,,https://hopenetwork10.ca,Canada-wide,24/7,,,"Information and referral service connecting residents to social, health, and government programs.",53.5025,-113.8493
